tenure,monthly_charges,senior_citizen,payment_electronic,contract_type,target
35,51.18,0,0,One year,0
37,70.61,0,1,One year,0
5,63.95,0,1,Month-to-month,0
26,30.57,1,1,Month-to-month,1
62,84.08,0,1,One year,0
4,41.6,0,0,Month-to-month,1
42,81.96,0,0,Two year,0
18,85.02,0,1,One year,0
40,35.2,0,0,Month-to-month,0
39,26.13,0,1,Month-to-month,0
14,98.08,0,1,Month-to-month,1
32,65.98,0,1,One year,0
51,25.82,0,1,One year,0
38,119.49,0,0,Month-to-month,1
23,25.78,0,0,One year,0
63,89.5,1,0,Two year,0
15,118.37,1,0,Month-to-month,1
25,43.92,0,0,Two year,1
17,34.22,1,0,Month-to-month,1
66,32.14,0,1,Month-to-month,0
53,50.33,0,1,Month-to-month,0
51,30.1,0,0,Month-to-month,0
39,89.22,0,0,Month-to-month,1
51,26.23,0,1,Month-to-month,0
70,70.94,0,0,Two year,0
6,119.67,0,0,Two year,1
67,101.4,0,0,One year,0
7,81.52,0,0,Month-to-month,0
51,50.63,0,0,Month-to-month,0
42,82.39,0,1,Month-to-month,0
64,72.7,0,0,One year,0
15,62.61,1,0,Two year,0
29,33.07,1,0,Month-to-month,0
33,108.66,0,0,Month-to-month,0
27,64.98,1,1,One year,1
36,39.46,0,1,Month-to-month,0
29,56.78,1,1,Month-to-month,1
38,61.41,0,0,One year,0
57,102.75,0,1,One year,0
27,93.36,0,1,Month-to-month,0
55,96.93,0,1,Month-to-month,0
33,21.1,0,0,Two year,0
68,61.62,0,0,Month-to-month,0
66,68.13,0,0,Month-to-month,0
10,21.92,0,1,Month-to-month,0
5,45.98,0,0,Month-to-month,0
38,96.03,1,0,Month-to-month,0
13,33.71,0,1,Two year,0
31,73.53,0,1,Month-to-month,0
47,41.52,0,1,Month-to-month,0
52,21.21,0,0,One year,0
56,44.12,0,1,One year,0
15,117.59,1,0,Two year,0
29,100.15,0,0,Two year,0
8,115.96,0,0,Month-to-month,0
5,68.79,1,0,One year,0
29,30.97,0,0,Month-to-month,0
47,74.8,0,1,Two year,0
68,65.44,0,0,Month-to-month,0
45,104.44,0,1,Two year,0
2,29.81,0,0,One year,0
27,68.82,0,0,Month-to-month,1
36,35.0,0,0,One year,0
36,52.47,1,0,Two year,0
26,93.74,0,0,Two year,1
43,67.6,0,0,Month-to-month,1
27,57.59,0,0,One year,0
69,59.45,0,0,Month-to-month,0
20,65.94,0,0,Month-to-month,0
11,98.5,0,1,Month-to-month,0
38,109.21,1,0,Month-to-month,1
6,115.53,0,1,Two year,0
23,98.69,0,1,Month-to-month,1
47,51.54,0,1,Two year,0
46,88.81,0,1,Month-to-month,0
12,63.76,0,0,Month-to-month,1
13,45.47,0,1,Month-to-month,0
62,104.09,0,1,Month-to-month,0
60,23.84,0,0,Month-to-month,0
43,110.18,1,0,Month-to-month,0
68,66.15,1,0,One year,0
5,83.72,0,1,Month-to-month,1
37,85.94,1,1,Month-to-month,1
31,109.51,0,0,Month-to-month,0
9,83.67,1,0,Two year,1
51,81.39,0,0,Two year,0
29,26.67,1,0,Month-to-month,0
40,71.84,1,1,Month-to-month,1
41,35.02,0,0,Month-to-month,0
11,93.74,1,0,Two year,0
23,71.22,0,0,Month-to-month,0
1,88.02,0,1,Month-to-month,0
46,24.17,0,0,Month-to-month,0
21,28.48,0,1,Month-to-month,0
36,91.63,0,0,Month-to-month,1
54,27.21,0,0,One year,0
57,27.13,1,0,Month-to-month,0
1,21.21,0,0,One year,1
63,115.65,0,0,Month-to-month,0
54,93.75,1,1,Month-to-month,1
55,55.33,1,1,Two year,1
40,49.65,1,1,Month-to-month,0
15,54.97,0,0,Two year,0
21,97.47,1,1,One year,1
47,86.14,0,0,Month-to-month,0
53,38.52,0,0,Two year,0
9,37.41,0,0,Month-to-month,0
52,29.84,0,0,Two year,0
57,86.03,0,1,Month-to-month,0
26,96.44,0,0,Two year,0
41,46.5,0,0,Month-to-month,0
35,22.09,0,1,One year,0
63,28.22,0,0,One year,0
25,116.79,0,0,Two year,1
38,49.54,0,0,Two year,0
2,96.92,0,1,Two year,1
7,82.47,0,1,Two year,0
34,58.19,0,0,Month-to-month,0
17,40.57,1,0,Month-to-month,0
43,32.14,0,0,Month-to-month,0
59,81.5,0,1,Month-to-month,0
51,97.46,0,0,Month-to-month,0
54,84.39,0,0,One year,0
24,73.03,1,0,Month-to-month,0
25,24.2,0,0,One year,0
71,116.85,0,0,Month-to-month,1
52,99.87,0,1,Month-to-month,0
70,49.28,0,0,One year,0
33,118.0,0,0,One year,0
49,80.19,0,1,One year,0
29,78.24,0,1,One year,0
63,94.81,0,0,Month-to-month,0
22,101.18,0,0,One year,0
26,85.65,1,0,Month-to-month,0
28,32.81,1,1,Month-to-month,0
49,53.83,0,0,Month-to-month,0
71,112.81,0,1,Month-to-month,0
49,42.46,0,1,Month-to-month,0
20,57.22,0,0,Two year,0
63,63.21,0,0,Two year,0
61,63.94,1,0,Month-to-month,0
49,81.29,1,0,Month-to-month,1
71,114.31,0,0,Month-to-month,0
1,44.07,0,1,Month-to-month,1
13,32.15,0,1,Two year,0
51,39.75,0,0,Month-to-month,0
56,108.69,0,1,One year,0
62,84.58,0,0,Month-to-month,0
32,48.59,0,0,Two year,0
30,101.59,0,0,Month-to-month,0
29,106.14,0,1,One year,0
49,104.65,1,1,Month-to-month,0
45,111.89,0,1,One year,0
30,45.22,0,0,Month-to-month,0
16,95.5,0,0,Month-to-month,1
40,66.05,0,0,Two year,1
19,104.2,0,0,Two year,1
18,92.85,0,1,Two year,0
1,97.64,1,1,One year,1
47,85.62,0,1,Two year,0
66,37.74,1,0,Month-to-month,1
38,74.5,0,0,Month-to-month,0
51,118.47,0,0,Month-to-month,0
63,113.74,0,0,One year,0
4,24.32,0,0,Month-to-month,0
1,36.48,0,1,Month-to-month,1
8,33.17,0,1,One year,0
29,92.6,0,0,Two year,0
55,101.78,1,0,Month-to-month,0
3,41.35,1,0,Month-to-month,1
32,70.59,1,0,Month-to-month,0
10,104.07,0,1,Month-to-month,0
34,93.28,0,0,Month-to-month,0
55,74.22,0,0,One year,0
32,79.03,0,0,One year,0
50,70.84,0,1,One year,0
7,49.75,0,0,Month-to-month,0
8,76.5,0,0,Two year,0
65,88.89,0,0,Month-to-month,0
57,107.33,1,1,Month-to-month,1
67,83.63,0,1,Two year,0
59,96.11,0,0,Month-to-month,0
54,36.01,0,1,Month-to-month,0
67,66.16,1,1,Two year,0
51,20.93,0,1,Month-to-month,0
8,44.67,0,1,One year,0
34,92.65,1,1,Month-to-month,1
35,119.18,1,0,One year,0
32,29.92,0,1,Month-to-month,0
